コントロールカラム,商品管理番号（商品URL）,商品名,表示先カテゴリ,優先度,URL,1ページ複数形式
"","advanced_gold_2","【ピストバイク クランク】MICHE ADVANCED Crank GOLD  ゴールド ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","パーツ\クランク","9999","http://item.rakuten.co.jp/brotures/c/0000000133/",""
"","advanced_red","MICHE Chainring REDミケ 【スプロケット】 レッド ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","ブランド\MICHE","9999","http://item.rakuten.co.jp/brotures/c/0000000190/",""
"","advanced_red","MICHE Chainring REDミケ 【スプロケット】 レッド ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","パーツ\スプロケット","9999","http://item.rakuten.co.jp/brotures/c/0000000135/",""
"","advanced_red_2","【ピストバイク クランク】MICHE ADVANCED Crank RED  レッド ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","ブランド\MICHE","9999","http://item.rakuten.co.jp/brotures/c/0000000190/",""
"","advanced_red_2","【ピストバイク クランク】MICHE ADVANCED Crank RED  レッド ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","パーツ\クランク","9999","http://item.rakuten.co.jp/brotures/c/0000000133/",""
"","advanced_silver","MICHE Chainring SILVERミケ 【スプロケット】 シルバー ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","ブランド\MICHE","9999","http://item.rakuten.co.jp/brotures/c/0000000190/",""
"","advanced_silver","MICHE Chainring SILVERミケ 【スプロケット】 シルバー ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","パーツ\スプロケット","9999","http://item.rakuten.co.jp/brotures/c/0000000135/",""
"","ahead-stem","BLB A-HEAD Stemビーエルビー 【ステム】  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","パーツ\ステム","9999","http://item.rakuten.co.jp/brotures/c/0000000138/",""
"","ahead-stem","BLB A-HEAD Stemビーエルビー 【ステム】  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","ブランド\BLB","9999","http://item.rakuten.co.jp/brotures/c/0000000151/",""
"","air_comp_latex_1","【タイヤ チューブ】ミシュラン MICHELIN エアコンプ ラテックスチューブ  ロードバイク/  シングルスピード/PISTEBIKE/ 自転車 パーツ 楽天","その他","999999999","http://item.rakuten.co.jp/brotures/c/0000000001/",""
"","air_comp_ultra_1","【タイヤ チューブ】ミシュラン MICHELIN エアコンプ ウルトラライトチューブ  ロードバイク/  シングルスピード/PISTEBIKE/ 自転車 パーツ 楽天","その他","999999999","http://item.rakuten.co.jp/brotures/c/0000000001/",""
"","air_stop_1","【タイヤ チューブ】ミシュラン MICHELIN エアストップ チューブ  ロードバイク/  シングルスピード/PISTEBIKE/ 自転車 パーツ 楽天","その他","999999999","http://item.rakuten.co.jp/brotures/c/0000000001/",""
"","alloy-seatpost","BLB Alloy Seatpostビーエルビー シートポスト  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","ブランド\BLB","9999","http://item.rakuten.co.jp/brotures/c/0000000151/",""
"","alloy-seatpost","BLB Alloy Seatpostビーエルビー シートポスト  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天","パーツ\シートポスト","9999","http://item.rakuten.co.jp/brotures/c/0000000140/",""
"","alumitough","【バーテープ＆グリップ】オーディーアイ ODI アルミタフプラグ  ロードバイク/  シングルスピード/PISTEBIKE/ 自転車 パーツ 楽天","その他","999999999","http://item.rakuten.co.jp/brotures/c/0000000001/",""
"","archetype-ano","【ピストバイク ホイール】エイチプラスサン   (H PLUS SON ARCHETYPE ANODIZED) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","パーツ\ホイール","9999","http://item.rakuten.co.jp/brotures/c/0000000131/",""
"","archetype-ano","【ピストバイク ホイール】エイチプラスサン   (H PLUS SON ARCHETYPE ANODIZED) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","ブランド\HPLUSSON","9999","http://item.rakuten.co.jp/brotures/c/0000000163/",""
"","archetype-b","【ピストバイク ホイール】エイチプラスサン   (H PLUS SON ARCHETYPE BLACK) ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 楽天 通勤・通学","パーツ\ホイール","9999","http://item.rakuten.co.jp/brotures/c/0000000131/",""
