コントロールカラム,商品管理番号（商品URL）,商品番号,全商品ディレクトリID,タグID,PC用キャッチコピー,モバイル用キャッチコピー,商品名,販売価格,表示価格,消費税,送料,個別送料,送料区分1,送料区分2,代引料,倉庫指定,商品情報レイアウト,注文ボタン,資料請求ボタン,商品問い合わせボタン,再入荷お知らせボタン,モバイル表示,のし対応,PC用商品説明文,モバイル用商品説明文,スマートフォン用商品説明文,PC用販売説明文,商品画像URL,商品画像名（ALT）,動画,販売期間指定,注文受付数,在庫タイプ,在庫数,在庫数表示,項目選択肢別在庫用横軸項目名,項目選択肢別在庫用縦軸項目名,項目選択肢別在庫用残り表示閾値,RAC番号,サーチ非表示,闇市パスワード,カタログID,在庫戻しフラグ,在庫切れ時の注文受付,在庫あり時納期管理番号,在庫切れ時納期管理番号,予約商品発売日,ポイント変倍率,ポイント変倍率適用期間,ヘッダー・フッター・レフトナビ,表示項目の並び順,共通説明文（小）,目玉商品,共通説明文（大）,レビュー本文表示,サイズ表リンク
,acc_ec-01,,101161,,アクセサリー,nitto,NITTO EC-01 バーエンドキャップNITTO カラー EC-01 バーエンドキャップ  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,1313,,1,0,,4,,0,0,1,1,0,1,0,1,0,#REF!,,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/nitto/acc_ec-01.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/nitto/acc_ec-01.jpg,NITTOEC-01バーエンドキャップ,,,-1,0,,,,,,296915-0010002850,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,acc-sticker,,101161,,アクセサリー,LEADERBIKE,【ピストバイク ハンドル】 LEADER リーダーバイク BIKE DOWN TUBE ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,1050,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/leaderbike/acc-sticker.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<div class=""row-fluid""><iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/leaderbike/acc-sticker.html"" frameborder=""0"" id=""skin-product"" scrolling=""no""></iframe></div>",http://image.rakuten.co.jp/brotures/cabinet/items/leaderbike/acc/sticker-black.jpg,LEADERBIKEDOWNTUBEStickerCollection,,,-1,0,,,,,,296915-0010001833,0,,,,,,,,,,アイテム2カラム,Bootstrap,Bootstrap,自動選択,アイテムデフォルト,2,
,acckcnc_valvecap,,101906,,アクセ,kcnc,KKCNC パブルキャップ フレンチKKCNC シルバー パブルキャップ フレンチ  ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,630,,1,0,,4,,0,0,1,1,0,1,0,1,0,#REF!,,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/kcnc/acckcnc_valvecap.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/kcnc/acckcnc_valvecap.jpg,KKCNCパブルキャップフレンチ,,,-1,0,,,,,,296915-0010003074,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,advanced,,563147,,クランク,MICHE,【ピストバイク クランク】MICHE ADVANCED Crank SILVER  シルバー ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,36225,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/miche/advanced.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/miche/advanced.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/miche/advanced.jpg,MICHEADVANCEDCrankSILVER,,,-1,0,,,,,,296915-0010002127,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,advanced_bk,,563147,,クランク,MICHE,【ピストバイク クランク】MICHE ADVANCED Crank BLACK  ブラック ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,36000,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/miche/advanced_bk.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/miche/advanced_bk.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/miche/advanced_bk.jpg,MICHEADVANCEDCrankBLACK,,,-1,0,,,,,,296915-0010002128,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,advanced_blue,,563161,,スプロケット,MICHE,MICHE Chainring BLUEミケ 【スプロケット】 ブルー ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,8540,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/miche/advanced_blue.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/miche/advanced_blue.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/miche/advanced_blue.jpg,MICHEChainringBLUE,,,-1,0,,,,,,296915-0010002126,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,advanced_blue_2,,563147,,クランク,MICHE,【ピストバイク クランク】MICHE ADVANCED Crank BLUE  ブルー ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,36000,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/miche/advanced_blue_2.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/miche/advanced_blue_2.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/miche/advanced_blue_2.jpg,MICHEADVANCEDCrankBLUE,,,-1,0,,,,,,296915-0010002130,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,advanced_gold,,563161,,スプロケット,MICHE,MICHE Chainring GOLDミケ 【スプロケット】 ゴールド ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,8540,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/miche/advanced_gold.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/miche/advanced_gold.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/miche/advanced_gold.jpg,MICHEChainringGOLD,,,-1,0,,,,,,296915-0010002125,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,advanced_gold_2,,563147,,クランク,MICHE,【ピストバイク クランク】MICHE ADVANCED Crank GOLD  ゴールド ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,36000,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/miche/advanced_gold_2.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/miche/advanced_gold_2.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/miche/advanced_gold_2.jpg,MICHEADVANCEDCrankGOLD,,,-1,0,,,,,,296915-0010002131,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
,advanced_red,,563161,,スプロケット,MICHE,MICHE Chainring REDミケ 【スプロケット】 レッド ピストバイク/シングルスピード/PISTEBIKE/ ロードバイク/ 自転車 パーツ 楽天,8540,,1,0,,4,,0,0,1,1,0,1,0,1,0,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/spec/miche/advanced_red.html"" frameborder=""0"" id=""spec-content"" scrolling=""no""></iframe>",,,"<iframe src=""http://www.rakuten.ne.jp/gold/brotures/items/miche/advanced_red.html"" frameborder=""0"" id=""items-col-content"" scrolling=""no""></iframe>",http://image.rakuten.co.jp/brotures/cabinet/items/miche/advanced_red.jpg,MICHEChainringRED,,,-1,0,,,,,,296915-0010002124,0,,,,,,,,,,items-col1-content,自動選択,自動選択,自動選択,自動選択,2,
